index,Test_Time(s),,Step_Time(s),Cycle_Index,Step_Index,Voltage,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Charge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Discharge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index
2575,297264.197512,,240.0058,33,4,4.26554536819458,297264.197512,240.0058,33,4,0,297264.197512,240.0058,33,4,2.44916129112244,297264.197512,240.0058,33,4,0,297264.197512,240.0058,33,4
2576,297324.196212,,300.0045,33,4,4.26230478286743,297324.196212,300.0045,33,4,0,297324.196212,300.0045,33,4,2.44916129112244,297324.196212,300.0045,33,4,0,297324.196212,300.0045,33,4
2577,297444.285056,,120.0041,33,5,3.90189599990845,297444.285056,120.0041,33,5,-2.28182506561279,297444.285056,120.0041,33,5,2.44916129112244,297444.285056,120.0041,33,5,0.076066248118877,297444.285056,120.0041,33,5
2578,297564.282656,,240.0017,33,5,3.85636854171753,297564.282656,240.0017,33,5,-2.28182983398437,297564.282656,240.0017,33,5,2.44916129112244,297564.282656,240.0017,33,5,0.152123183012009,297564.282656,240.0017,33,5
2579,297684.282356,,360.0014,33,5,3.81872510910034,297684.282356,360.0014,33,5,-2.28216361999512,297684.282356,360.0014,33,5,2.44916129112244,297684.282356,360.0014,33,5,0.228196695446968,297684.282356,360.0014,33,5
2580,297804.283556,,480.0026,33,5,3.78348207473755,297804.283556,480.0026,33,5,-2.28184986114502,297804.283556,480.0026,33,5,2.44916129112244,297804.283556,480.0026,33,5,0.304257750511169,297804.283556,480.0026,33,5
2581,297924.281456,,600.0005,33,5,3.74961519241333,297924.281456,600.0005,33,5,-2.28211402893066,297924.281456,600.0005,33,5,2.44916129112244,297924.281456,600.0005,33,5,0.380326211452484,297924.281456,600.0005,33,5
2582,298044.281956,,720.001,33,5,3.716881275177,298044.281956,720.001,33,5,-2.28218841552734,298044.281956,720.001,33,5,2.44916129112244,298044.281956,720.001,33,5,0.456397473812103,298044.281956,720.001,33,5
2583,298164.284956,,840.004,33,5,3.68518018722534,298164.284956,840.004,33,5,-2.28205871582031,298164.284956,840.004,33,5,2.44916129112244,298164.284956,840.004,33,5,0.532461643218994,298164.284956,840.004,33,5
2584,298284.287256,,960.0063,33,5,3.65496969223022,298284.287256,960.0063,33,5,-2.28181457519531,298284.287256,960.0063,33,5,2.44916129112244,298284.287256,960.0063,33,5,0.608532845973969,298284.287256,960.0063,33,5
