index,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Voltage,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Charge_Capacity,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Discharge_Capacity
826,96235.37622,2160.0054,11,3,4.40009593963623,96235.37622,2160.0054,11,3,1.69563579559326,96235.37622,2160.0054,11,3,1.65333032608032,96235.37622,2160.0054,11,3,2.26330687524978E-09
827,96355.37322,2280.0024,11,3,4.40004253387451,96355.37322,2280.0024,11,3,1.62256622314453,96355.37322,2280.0024,11,3,1.70860242843628,96355.37322,2280.0024,11,3,2.26330687524978E-09
828,96475.37262,2400.0018,11,3,4.39997673034668,96475.37262,2400.0018,11,3,1.55388641357422,96475.37262,2400.0018,11,3,1.76155841350555,96475.37262,2400.0018,11,3,2.26330687524978E-09
829,96595.37492,2520.0041,11,3,4.39997100830078,96595.37492,2520.0041,11,3,1.48870849609375,96595.37492,2520.0041,11,3,1.81226015090942,96595.37492,2520.0041,11,3,2.26330687524978E-09
830,96715.37532,2640.0045,11,3,4.39995765686035,96715.37532,2640.0045,11,3,1.42689800262451,96715.37532,2640.0045,11,3,1.86084997653961,96715.37532,2640.0045,11,3,2.26330687524978E-09
831,96835.37202,2760.0012,11,3,4.39991760253906,96835.37202,2760.0012,11,3,1.36655807495117,96835.37202,2760.0012,11,3,1.90738296508789,96835.37202,2760.0012,11,3,2.26330687524978E-09
832,96955.37732,2880.0065,11,3,4.40003299713135,96955.37732,2880.0065,11,3,1.30649089813232,96955.37732,2880.0065,11,3,1.95193064212799,96955.37732,2880.0065,11,3,2.26330687524978E-09
833,97075.37682,3000.006,11,3,4.39999961853027,97075.37682,3000.006,11,3,1.24868202209473,97075.37682,3000.006,11,3,1.99449300765991,97075.37682,3000.006,11,3,2.26330687524978E-09
834,97195.37322,3120.0024,11,3,4.39999771118164,97195.37322,3120.0024,11,3,1.19216537475586,97195.37322,3120.0024,11,3,2.03516674041748,97195.37322,3120.0024,11,3,2.26330687524978E-09
835,97315.37732,3240.0065,11,3,4.4000186920166,97315.37732,3240.0065,11,3,1.13773536682129,97315.37732,3240.0065,11,3,2.07400250434875,97315.37732,3240.0065,11,3,2.26330687524978E-09
836,97435.37732,3360.0065,11,3,4.39998817443848,97435.37732,3360.0065,11,3,1.08454418182373,97435.37732,3360.0065,11,3,2.1110475063324,97435.37732,3360.0065,11,3,2.26330687524978E-09
837,97555.37162,3480.0008,11,3,4.39995670318604,97555.37162,3480.0008,11,3,1.03441047668457,97555.37162,3480.0008,11,3,2.14635920524597,97555.37162,3480.0008,11,3,2.26330687524978E-09
838,97675.37462,3600.0038,11,3,4.39999485015869,97675.37462,3600.0038,11,3,0.986616134643555,97675.37462,3600.0038,11,3,2.1800320148468,97675.37462,3600.0038,11,3,2.26330687524978E-09
839,97795.37732,3720.0065,11,3,4.40001106262207,97795.37732,3720.0065,11,3,0.940117835998535,97795.37732,3720.0065,11,3,2.21213722229004,97795.37732,3720.0065,11,3,2.26330687524978E-09
840,97915.37582,3840.005,11,3,4.39996910095215,97915.37582,3840.005,11,3,0.895213127136231,97915.37582,3840.005,11,3,2.24271965026855,97915.37582,3840.005,11,3,2.26330687524978E-09
841,98035.37722,3960.0064,11,3,4.399977684021,98035.37722,3960.0064,11,3,0.852843284606934,98035.37722,3960.0064,11,3,2.27185082435608,98035.37722,3960.0064,11,3,2.26330687524978E-09
842,98155.37232,4080.0015,11,3,4.40000534057617,98155.37232,4080.0015,11,3,0.811939239501953,98155.37232,4080.0015,11,3,2.2995822429657,98155.37232,4080.0015,11,3,2.26330687524978E-09
843,98275.37272,4200.0019,11,3,4.39996719360352,98275.37272,4200.0019,11,3,0.771796226501465,98275.37272,4200.0019,11,3,2.32597160339355,98275.37272,4200.0019,11,3,2.26330687524978E-09
844,98395.37152,4320.0007,11,3,4.40008068084717,98395.37152,4320.0007,11,3,0.734196662902832,98395.37152,4320.0007,11,3,2.35106134414673,98395.37152,4320.0007,11,3,2.26330687524978E-09
845,98515.37432,4440.0035,11,3,4.39998531341553,98515.37432,4440.0035,11,3,0.697829246520996,98515.37432,4440.0035,11,3,2.37492656707764,98515.37432,4440.0035,11,3,2.26330687524978E-09
846,98635.37442,4560.0036,11,3,4.39996147155762,98635.37442,4560.0036,11,3,0.66359806060791,98635.37442,4560.0036,11,3,2.39761638641357,98635.37442,4560.0036,11,3,2.26330687524978E-09
847,98677.49422,4602.1234,11,3,4.39999103546143,98677.49422,4602.1234,11,3,0.651996612548828,98677.49422,4602.1234,11,3,2.40531206130981,98677.49422,4602.1234,11,3,2.26330687524978E-09
848,98797.549708,120.0036,11,4,4.26825046539307,98797.549708,120.0036,11,4,0,98797.549708,120.0036,11,4,2.40531325340271,98797.549708,120.0036,11,4,2.26330687524978E-09
849,98917.547908,240.0018,11,4,4.2557373046875,98917.547908,240.0018,11,4,0,98917.547908,240.0018,11,4,2.40531325340271,98917.547908,240.0018,11,4,2.26330687524978E-09
850,98977.550108,300.004,11,4,4.2525577545166,98977.550108,300.004,11,4,0,98977.550108,300.004,11,4,2.40531325340271,98977.550108,300.004,11,4,2.26330687524978E-09
851,99097.646444,120.0027,11,5,3.85327529907227,99097.646444,120.0027,11,5,-2.28202533721924,99097.646444,120.0027,11,5,2.40531325340271,99097.646444,120.0027,11,5,0.076067849993706
852,99217.645244,240.0015,11,5,3.80827140808105,99217.645244,240.0015,11,5,-2.28211784362793,99217.645244,240.0015,11,5,2.40531325340271,99217.645244,240.0015,11,5,0.152135610580444
853,99337.650244,360.0065,11,5,3.77131366729736,99337.650244,360.0065,11,5,-2.28223514556885,99337.650244,360.0065,11,5,2.40531325340271,99337.650244,360.0065,11,5,0.228209242224693
854,99457.645244,480.0015,11,5,3.73666381835937,99457.645244,480.0015,11,5,-2.28206920623779,99457.645244,480.0015,11,5,2.40531325340271,99457.645244,480.0015,11,5,0.304278403520584
